subject,block,trial,mu1,mu2,choice,reward,RT
3,1,7,10,9,1,8,438
3,1,8,10,9,2,10,357
3,1,9,10,9,1,9,383
3,1,10,10,9,2,10,387
3,2,1,-4,6,1,-5,861
3,2,2,-4,6,2,4,372
3,2,3,-4,6,1,-5,516
3,2,4,-4,6,2,8,323
3,2,5,-4,6,2,5,336
3,2,6,-4,6,1,-6,333
3,2,7,-4,6,2,8,313
3,2,8,-4,6,2,4,333
3,2,9,-4,6,2,6,341
3,2,10,-4,6,2,5,316
3,3,1,4,-1,2,-2,468
3,3,2,4,-1,1,4,343
3,3,3,4,-1,1,5,259
3,3,4,4,-1,1,3,292
3,3,5,4,-1,1,3,322
3,3,6,4,-1,1,3,318
3,3,7,4,-1,1,5,336
3,3,8,4,-1,1,4,363
3,3,9,4,-1,1,5,415
3,3,10,4,-1,1,4,355
3,4,1,-13,8,1,-13,422
3,4,2,-13,8,2,8,384
3,4,3,-13,8,2,8,464
3,4,4,-13,8,2,8,254
3,4,5,-13,8,2,7,209
3,4,6,-13,8,2,8,229
3,4,7,-13,8,2,9,226
3,4,8,-13,8,2,7,283
3,4,9,-13,8,2,6,235
3,4,10,-13,8,2,9,418
3,5,1,-2,6,1,-2,370
3,5,2,-2,6,2,4,258
3,5,3,-2,6,2,7,233
3,5,4,-2,6,2,6,241
3,5,5,-2,6,2,7,239
3,5,6,-2,6,2,7,277
3,5,7,-2,6,2,7,379
3,5,8,-2,6,2,6,294
3,5,9,-2,6,2,6,257
3,5,10,-2,6,2,5,316
3,6,1,-2,-2,2,-1,351
3,6,2,-2,-2,1,-2,265
3,6,3,-2,-2,2,-3,260
3,6,4,-2,-2,1,0,388
3,6,5,-2,-2,1,-2,283
3,6,6,-2,-2,2,-5,316
3,6,7,-2,-2,1,-4,297
3,6,8,-2,-2,2,-3,319
3,6,9,-2,-2,1,-1,321
3,6,10,-2,-2,2,-1,358
3,7,1,1,8,1,0,351
3,7,2,1,8,2,9,263
3,7,3,1,8,2,8,312
3,7,4,1,8,2,7,334
3,7,5,1,8,2,8,250
3,7,6,1,8,2,9,255
3,7,7,1,8,2,6,277
3,7,8,1,8,2,9,226
3,7,9,1,8,2,9,244
3,7,10,1,8,2,7,277
3,8,1,-2,-7,2,-6,556
3,8,2,-2,-7,1,-2,287
3,8,3,-2,-7,1,-4,299
3,8,4,-2,-7,2,-6,290
3,8,5,-2,-7,1,-1,285
3,8,6,-2,-7,2,-6,291
3,8,7,-2,-7,1,-3,274
3,8,8,-2,-7,1,-2,269
